會計師
行政人員
廣告（室內）人員 - 不涉及體力勞動工作
機場（室內）人員 - 不涉及體力勞動工作
建築師 （室內）- 不涉及體力勞動工作
麵包師傅
麵包店 - 店鋪售貨員
銀行 - 經理 / 文職人員
美容師 / 美甲師
旅館服務員
書本裝訂工人
記帳員
書籍銷售員
靴、鞋類製造及修補工人
大廈保安員
出納員 （室內）- 不涉及體力勞動工作
私家車私人司機
中醫師/ 跌打醫師 / 針灸治療師
脊醫治療師
牧師 / 神父
診所護士
鐘錶、手錶製造及修理工人
收租人員
外勤員 - 不涉及體力勞動工作
電腦數據處理員
電腦程式員
牙科技師
牙醫
醫生 / 內科醫生 / 外科醫生
繪圖員（室內）- 不涉及體力勞動工作
駕駛導師
電子工人
花卉店（室內）銷售員
花卉店（室外）銷售員
皮草（室內）銷售員
皮草（室外）銷售員
製衣工人
髮型師
醫院護士
酒店- 文職人員
酒店 - 餐飲部侍應
酒店 - 廚房員工
家庭主婦
室內清潔工人
室內文員
室內推銷員
保險代理 / 經紀
律師
講師
圖書管理員
理賠人員
信差
助產士
辦公室 - 經理 / 文職人員
視光師
室外推銷員 - 不涉及體力勞動工作
油站工人
藥劑師
物理治療師
郵差
印刷技工
物業代理
酒樓 / 餐廳 / 咖啡室 - 廚房員工
酒樓 / 餐廳 / 咖啡室 - 侍應
護衛員
股票經紀
學生
裁縫
的士司機
教師
獸醫
